Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoPizza\ContosoPizza.csproj,File,ContosoPizza\ContosoPizza.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 7.0.5,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 7.0.5  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 8.0.31"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoPizza\ContosoPizza.csproj,File,ContosoPizza\ContosoPizza.csproj,,,Microsoft.EntityFrameworkCore.Tools 7.0.5,,,,,"Microsoft.EntityFrameworkCore.Tools, 7.0.5  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 8.0.31"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoPizza\ContosoPizza.csproj,File,ContosoPizza\ContosoPizza.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 7.0.6,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 7.0.6  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 8.0.23"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ContosoPizza\ContosoPizza.csproj,File,ContosoPizza\ContosoPizza.csproj,,,,,,,,Current target framework: net7.0 Recommended target framework: net8.0
